id,key,value,type
30635874,source,PGS,regular
30635892,source,PGS,regular
30635897,source,PGS,regular
191998307,crossing,uncontrolled,regular
191998307,highway,crossing,regular
191998307,source,Bing,regular
191998325,crossing,uncontrolled,regular
191998325,highway,crossing,regular
191998325,source,Bing,regular
199109578,exit_to,MA-23;aeropuerto;Jan Julián;Guadalmar;Villa Rosa,regular
199109578,highway,motorway_junction,regular
199109578,name,aeropuerto,regular
199109578,ref,3,regular
199109994,created_by,JOSM,regular
199109994,ele,119.19341648512021,regular
199110026,created_by,JOSM,regular
199110026,ele,110.504253,regular
199110043,ele,98.778007,regular
199110076,ele,97.852827,regular
199110223,created_by,JOSM,regular
199110234,created_by,JOSM,regular
199110234,ele,141.4127414511417,regular
199110256,ele,161.5996553634807,regular
199110310,created_by,JOSM,regular
199110314,created_by,JOSM,regular
199253013,created_by,JOSM,regular
199253013,ele,113.34336261355264,regular
199253027,ele,110.504253,regular
199253037,created_by,JOSM,regular
199253037,ele,130.9369994415597,regular
199253044,ele,126.67694525732085,regular
199253064,created_by,JOSM,regular
199253064,ele,122.88155276485655,regular
199253088,ele,151.10587320651143,regular
199253136,ele,166.03990224276137,regular
199262394,created_by,JOSM,regular
199262436,created_by,JOSM,regular
205327655,aerialway,station,regular
205327655,aerialway:access,both,regular
205327662,aerialway,pylon,regular
205327668,aerialway,pylon,regular
205327673,aerialway,pylon,regular
205327679,aerialway,pylon,regular
205327689,aerialway,pylon,regular
205327755,aerialway,pylon,regular
205327758,aerialway,pylon,regular
205327767,aerialway,pylon,regular
205327799,aerialway,pylon,regular
205327806,aerialway,pylon,regular
205327812,aerialway,pylon,regular
205327818,aerialway,pylon,regular
205327823,aerialway,pylon,regular
205327829,aerialway,pylon,regular
205327839,aerialway,pylon,regular
205327857,aerialway,pylon,regular
205327865,aerialway,pylon,regular
205327882,aerialway,station,regular
205327882,aerialway:access,both,regular
248604859,amenity,parking,regular
248604859,name,Parking Larios Centro,regular
248605273,crossing,traffic_signals,regular
248605273,highway,crossing,regular
248605275,crossing,traffic_signals,regular
248605275,highway,crossing,regular
248605276,crossing,traffic_signals,regular
248605276,highway,traffic_signals,regular
248605277,crossing,traffic_signals,regular
248605277,highway,crossing,regular
248605289,crossing,traffic_signals,regular
248605289,highway,traffic_signals,regular
248605973,crossing,traffic_signals,regular
248605973,highway,traffic_signals,regular
248605974,crossing,traffic_signals,regular
248605974,highway,crossing,regular
248605983,crossing,traffic_signals,regular
248605983,highway,traffic_signals,regular
248605992,crossing,traffic_signals,regular
248605992,highway,crossing,regular
248605996,crossing,traffic_signals,regular
248605996,highway,traffic_signals,regular
248606018,crossing,traffic_signals,regular
248606018,highway,traffic_signals,regular
248664686,crossing,traffic_signals,regular
248664686,highway,crossing,regular
248666045,highway,traffic_signals,regular
248738349,ele,105.091236,regular
248738351,ele,95.41175228013968,regular
248738394,highway,crossing,regular
248738396,highway,crossing,regular
248738421,crossing,traffic_signals,regular
248738421,highway,traffic_signals,regular
248741632,crossing,traffic_signals,regular
248741632,highway,traffic_signals,regular
248741668,highway,traffic_signals,regular
248741681,highway,traffic_signals,regular
250317851,highway,traffic_signals,regular
250317861,highway,traffic_signals,regular
250317907,highway,crossing,regular
250317907,source,bing,regular
250317919,ele,73.22455830866693,regular
250317932,ele,73.60012927981681,regular
250317939,ele,69.351263,regular
250317977,ele,69.734796,regular
250317994,ele,70.93190839568533,regular
250318000,ele,69.62233818918953,regular
250318081,crossing,traffic_signals,regular
250318081,highway,crossing,regular
250318081,source,bing,regular
250318091,ele,61.72323,regular
250318243,ele,65.79599448700243,regular
250318244,ele,66.1542254312137,regular
250318247,ele,65.73398536213593,regular
250318290,ele,71.408323,regular
250318292,source,survey,regular
250318311,bus,yes,regular
250318311,lines,C2,regular
250318311,name,Avenida de las Américas - Puente de las Américas,regular
250318311,operator,EMT,regular
250318311,public_transport,stop_position,regular
250318311,ref,1805,regular
250318325,ele,82.786186,regular
250318326,ele,75.312847,regular
250318327,ele,74.87233822411723,regular
250325330,bus,yes,regular
250325330,lines,"4,19,20",regular
250325330,name,Paseo de los Tilos - Cruz de Humilladero,regular
250325330,operator,EMT,regular
250325330,public_transport,stop_position,regular
250325330,ref,407,regular
250325343,highway,crossing,regular
250325351,created_by,JOSM,regular
250325352,created_by,JOSM,regular
250325353,created_by,JOSM,regular
250325354,created_by,JOSM,regular
250325355,created_by,JOSM,regular
250325356,created_by,JOSM,regular
